,populacao
2025-01,13345000000.0
2025-02,26690000000.0
2025-03,40035000000.0
2025-04,53380000000.0
2025-05,66725000000.0
2025-06,80070000000.0
2025-07,93415000000.0
2025-08,106760000000.0
2025-09,120105000000.0
2025-10,133450000000.0
2025-11,146795000000.0
2025-12,160140000000.0
