,populacao
2025-01,3203.0
2025-02,2959.0
2025-03,2947.0
2025-04,2933.0
2025-05,2928.0
2025-06,2919.0
2025-07,2907.0
2025-08,2898.0
2025-09,2902.0
2025-10,3004.0
2025-11,3258.0
2025-12,3280.0
