,populacao
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,2767118.0
2025-05,5663507.0
2025-06,8457213.0
2025-07,10825437.0
2025-08,13806996.0
2025-09,17023228.0
2025-10,19963005.0
2025-11,22859690.0
2025-12,25764387.0
