,populacao
2025-01,8527099.0
2025-02,8571011.0
2025-03,8605803.0
2025-04,8633368.0
2025-05,8655209.0
2025-06,8672513.0
2025-07,8686223.0
2025-08,8697085.0
2025-09,8705691.0
2025-10,8712510.0
2025-11,8717913.0
2025-12,8722193.0
2026-01,8725585.0
