,populacao
2025-01,4120294.0
2025-02,4141513.0
2025-03,4158324.0
2025-04,4171643.0
2025-05,4182197.0
2025-06,4190558.0
2025-07,4197183.0
2025-08,4202431.0
2025-09,4206590.0
2025-10,4209885.0
2025-11,4212496.0
2025-12,4214564.0
2026-01,4216203.0
