,populacao
2024-01,4120294.0
2024-02,4141513.0
2024-03,4158324.0
2024-04,4171643.0
2024-05,4182197.0
2024-06,4190558.0
2024-07,4197183.0
2024-08,4202431.0
2024-09,4206590.0
2024-10,4209885.0
2024-11,4212496.0
2024-12,4214564.0
2025-01,4216203.0
