Data;Valor
1983-08-01;65680
1983-09-01;63067
1983-10-01;59662
1983-11-01;53136
1983-12-01;60582
1984-01-01;45838
1984-02-01;57538
1984-03-01;53217
1984-04-01;55295
1984-05-01;59219
1984-06-01;58868
1984-07-01;49945
1984-08-01;59948
1984-09-01;57421
1984-10-01;61488
1984-11-01;65305
1984-12-01;53000
1985-01-01;61448
1985-02-01;58942
1985-03-01;68245
1985-04-01;24675
1985-05-01;37224
1985-06-01;51227
1985-07-01;74367
1985-08-01;76429
1985-09-01;76906
1985-10-01;91866
1985-11-01;81817
1985-12-01;60034
1986-01-01;58421
1986-02-01;75255
1986-03-01;80580
1986-04-01;81704
1986-05-01;86222
1986-06-01;76837
1986-07-01;73890
1986-08-01;63379
1986-09-01;87269
1986-10-01;78881
1986-11-01;40476
1986-12-01;63814
1987-01-01;43591
1987-02-01;49547
1987-03-01;38055
1987-04-01;57351
1987-05-01;52016
1987-06-01;39299
1987-07-01;48920
1987-08-01;45053
1987-09-01;40952
1987-10-01;56944
1987-11-01;52150
1987-12-01;56207
1988-01-01;49023
1988-02-01;52522
1988-03-01;62541
1988-04-01;51845
1988-05-01;58656
1988-06-01;64136
1988-07-01;69551
1988-08-01;71479
1988-09-01;61319
1988-10-01;69032
1988-11-01;66098
1988-12-01;71514
1989-01-01;63604
1989-02-01;58488
1989-03-01;58990
1989-04-01;46256
1989-05-01;51434
1989-06-01;74531
1989-07-01;68208
1989-08-01;81925
1989-09-01;70314
1989-10-01;63354
1989-11-01;50237
1989-12-01;74284
1990-01-01;69788
1990-02-01;57254
1990-03-01;32737
1990-04-01;32811
1990-05-01;58464
1990-06-01;37632
1990-07-01;43697
1990-08-01;84694
1990-09-01;75199
1990-10-01;80951
1990-11-01;73074
1990-12-01;66440
1991-01-01;55676
1991-02-01;50667
1991-03-01;64387
1991-04-01;39359
1991-05-01;57761
1991-06-01;70347
1991-07-01;86617
1991-08-01;80835
1991-09-01;74764
1991-10-01;82047
1991-11-01;70285
1991-12-01;58028
1992-01-01;46078
1992-02-01;50051
1992-03-01;29881
1992-04-01;72011
1992-05-01;61440
1992-06-01;67911
1992-07-01;73537
1992-08-01;71914
1992-09-01;69998
1992-10-01;77891
1992-11-01;73525
1992-12-01;69779
1993-01-01;60203
1993-02-01;66316
1993-03-01;90388
1993-04-01;81220
1993-05-01;93846
1993-06-01;97743
1993-07-01;102034
1993-08-01;115338
1993-09-01;106483
1993-10-01;111349
1993-11-01;104900
1993-12-01;101345
1994-01-01;89900
1994-02-01;91994
1994-03-01;123373
1994-04-01;98104
1994-05-01;116714
1994-06-01;111370
1994-07-01;110787
1994-08-01;138165
1994-09-01;114338
1994-10-01;119752
1994-11-01;143965
1994-12-01;136941
1995-01-01;111524
1995-02-01;142902
1995-03-01;173208
1995-04-01;142650
1995-05-01;161468
1995-06-01;160441
1995-07-01;115724
