Data;Valor
1983-08-01;72434
1983-09-01;69215
1983-10-01;63619
1983-11-01;66435
1983-12-01;67428
1984-01-01;58333
1984-02-01;67809
1984-03-01;64201
1984-04-01;50995
1984-05-01;72732
1984-06-01;63657
1984-07-01;63500
1984-08-01;75684
1984-09-01;57266
1984-10-01;69102
1984-11-01;77021
1984-12-01;54408
1985-01-01;72183
1985-02-01;65399
1985-03-01;77484
1985-04-01;32832
1985-05-01;42645
1985-06-01;62979
1985-07-01;90383
1985-08-01;85270
1985-09-01;88741
1985-10-01;103283
1985-11-01;91201
1985-12-01;67036
1986-01-01;75182
1986-02-01;79998
1986-03-01;89432
1986-04-01;93327
1986-05-01;94469
1986-06-01;85135
1986-07-01;80175
1986-08-01;75517
1986-09-01;90599
1986-10-01;84806
1986-11-01;60076
1986-12-01;56567
1987-01-01;66387
1987-02-01;59853
1987-03-01;59867
1987-04-01;74637
1987-05-01;75475
1987-06-01;76050
1987-07-01;70739
1987-08-01;67544
1987-09-01;64709
1987-10-01;66510
1987-11-01;72339
1987-12-01;69424
1988-01-01;66311
1988-02-01;75854
1988-03-01;86147
1988-04-01;74140
1988-05-01;77983
1988-06-01;87125
1988-07-01;78934
1988-08-01;95798
1988-09-01;79488
1988-10-01;82797
1988-11-01;83582
1988-12-01;78723
1989-01-01;82931
1989-02-01;73601
1989-03-01;71318
1989-04-01;64308
1989-05-01;65690
1989-06-01;95326
1989-07-01;87532
1989-08-01;99846
1989-09-01;83589
1989-10-01;77925
1989-11-01;67035
1989-12-01;86432
1990-01-01;81479
1990-02-01;68409
1990-03-01;61505
1990-04-01;29035
1990-05-01;78868
1990-06-01;44278
1990-07-01;51830
1990-08-01;97450
1990-09-01;78913
1990-10-01;87506
1990-11-01;89086
1990-12-01;75070
1991-01-01;66239
1991-02-01;50568
1991-03-01;60514
1991-04-01;40666
1991-05-01;66477
1991-06-01;78605
1991-07-01;91767
1991-08-01;86694
1991-09-01;80575
1991-10-01;90425
1991-11-01;81798
1991-12-01;66841
1992-01-01;63613
1992-02-01;74082
1992-03-01;53796
1992-04-01;59859
1992-05-01;73710
1992-06-01;82638
1992-07-01;87933
1992-08-01;83652
1992-09-01;82328
1992-10-01;90902
1992-11-01;87548
1992-12-01;64977
1993-01-01;66168
1993-02-01;73042
1993-03-01;98691
1993-04-01;88839
1993-05-01;101055
1993-06-01;102512
1993-07-01;104493
1993-08-01;115800
1993-09-01;106990
1993-10-01;109989
1993-11-01;111043
1993-12-01;94678
1994-01-01;93357
1994-02-01;95060
1994-03-01;122600
1994-04-01;94820
1994-05-01;119441
1994-06-01;109101
1994-07-01;114188
1994-08-01;127038
1994-09-01;103372
1994-10-01;108978
1994-11-01;124173
1994-12-01;109563
1995-01-01;78192
1995-02-01;110168
1995-03-01;131859
1995-04-01;117064
1995-05-01;136548
1995-06-01;153241
1995-07-01;106135
1995-08-01;140683
1995-09-01;119247
1995-10-01;134566
1995-11-01;129650
1995-12-01;102323
1996-01-01;100946
1996-02-01;121248
1996-03-01;136019
1996-04-01;130698
1996-05-01;142309
1996-06-01;121143
1996-07-01;153931
1996-08-01;161906
1996-09-01;146060
1996-10-01;148219
1996-11-01;141674
1996-12-01;118982
1997-01-01;124889
1997-02-01;136323
1997-03-01;153164
1997-04-01;172391
1997-05-01;162310
1997-06-01;170685
1997-07-01;160400
1997-08-01;173863
1997-09-01;182952
1997-10-01;192829
1997-11-01;130140
1997-12-01;101255
1998-01-01;110243
1998-02-01;105964
1998-03-01;141749
1998-04-01;137785
1998-05-01;160231
1998-06-01;146151
1998-07-01;126825
1998-08-01;134224
1998-09-01;134540
1998-10-01;92855
1998-11-01;79643
1998-12-01;59650
1999-01-01;81902
1999-02-01;78103
1999-03-01;114873
1999-04-01;109148
1999-05-01;114047
1999-06-01;116990
1999-07-01;115312
1999-08-01;129287
1999-09-01;130444
1999-10-01;109990
1999-11-01;108670
1999-12-01;81211
2000-01-01;92704
2000-02-01;126595
2000-03-01;130730
2000-04-01;129116
2000-05-01;144738
2000-06-01;145172
2000-07-01;141751
2000-08-01;161503
2000-09-01;141474
2000-10-01;140295
2000-11-01;128920
2000-12-01;122850
2001-01-01;116359
2001-02-01;135125
2001-03-01;172563
2001-04-01;159963
2001-05-01;181201
2001-06-01;153120
2001-07-01;142411
2001-08-01;139972
2001-09-01;127346
2001-10-01;117198
2001-11-01;124740
2001-12-01;104524
2002-01-01;116830
2002-02-01;116000
2002-03-01;143887
2002-04-01;152334
2002-05-01;144526
2002-06-01;130458
2002-07-01;133240
2002-08-01;127173
2002-09-01;140896
2002-10-01;157227
2002-11-01;148960
2002-12-01;122259
2003-01-01;132208
2003-02-01;141129
2003-03-01;127486
2003-04-01;130783
2003-05-01;141857
2003-06-01;124511
2003-07-01;130930
2003-08-01;130353
2003-09-01;155901
2003-10-01;161223
2003-11-01;161528
2003-12-01;146806
2004-01-01;150001
2004-02-01;148766
2004-03-01;185509
2004-04-01;163375
2004-05-01;172380
2004-06-01;179685
2004-07-01;179895
2004-08-01;192904
2004-09-01;194735
2004-10-01;182581
2004-11-01;193820
2004-12-01;180526
2005-01-01;155533
2005-02-01;176760
2005-03-01;211944
2005-04-01;197607
2005-05-01;207369
2005-06-01;213767
2005-07-01;199959
2005-08-01;210961
2005-09-01;198855
2005-10-01;182962
2005-11-01;206894
2005-12-01;194561
2006-01-01;183640
2006-02-01;190099
2006-03-01;212794
2006-04-01;184761
2006-05-01;219343
2006-06-01;205415
2006-07-01;202943
2006-08-01;221843
2006-09-01;188600
2006-10-01;207656
2006-11-01;208897
2006-12-01;177689
2007-01-01;190778
2007-02-01;190518
2007-03-01;234951
2007-04-01;212376
2007-05-01;241844
2007-06-01;232836
2007-07-01;253138
2007-08-01;263924
2007-09-01;241700
2007-10-01;283405
2007-11-01;262729
2007-12-01;217025
2008-01-01;242456
2008-02-01;239214
2008-03-01;268285
2008-04-01;283294
2008-05-01;274542
