,populacao
2024-01,138791.0
2024-02,113393.0
2024-03,133549.0
2024-04,124126.0
2024-05,125222.0
2024-06,122233.0
2024-07,115818.0
2024-08,101265.0
2024-09,88318.0
2024-10,86609.0
2024-11,79481.0
2024-12,86089.0
2025-01,110962.0
2025-02,81453.0
2025-03,86955.0
2025-04,77640.0
2025-05,82282.0
2025-06,80714.0
2025-07,75697.0
2025-08,60702.0
2025-09,48318.0
