,nascimentos
2024-01,223094.97685814148
2024-02,210910.6571257924
2024-03,238700.152390626
2024-04,230494.12102639707
2024-05,237263.38614899392
2024-06,218916.97166500596
2024-07,218871.99879349628
2024-08,215911.38386341438
2024-09,200740.53246694975
2024-10,197394.14903535275
2024-11,210485.77170777673
2024-12,224148.33710282636
