,populacao
2024-02,46410.90702532734
2024-03,78023.1223760728
2024-04,106082.79055721869
2024-05,141087.32677372533
2024-06,171705.0532023444
2024-07,196500.68888600118
2024-08,225748.81712301943
2024-09,242846.1980554137
2024-10,268478.4816794381
2024-11,290467.4344537249
2024-12,307806.6128338447
2025-01,322230.94922195014
