,obitos_total
2024-01,140374.6051148615
2024-02,116778.43829166309
2024-03,137995.8546201677
2024-04,130436.54221239692
2024-05,133535.66711822146
2024-06,132456.21886447584
2024-07,127944.99284298524
2024-08,115208.49827051559
2024-09,104125.59857831747
2024-10,104224.21446306315
2024-11,98882.86443888927
2024-12,107230.42586746962
