,populacao
2024-01,8527099.0
2024-02,8571011.0
2024-03,8605803.0
2024-04,8633368.0
2024-05,8655209.0
2024-06,8672513.0
2024-07,8686223.0
2024-08,8697085.0
2024-09,8705691.0
2024-10,8712510.0
2024-11,8717913.0
2024-12,8722193.0
2025-01,8725585.0
